title,company,role,location,job_type,experience,skills,industry
Senior Software Engineer,TechCorp,software developer,Bangalore,full-time,5,python java react,IT
Junior Software Developer,InnoTech,software developer,Bangalore,full-time,2,javascript python,IT
Frontend Developer,WebSolutions,software developer,Mumbai,full-time,3,react javascript html css,IT
Backend Engineer,CloudSystems,software developer,Delhi,full-time,4,java spring aws,IT
Data Scientist,AnalyticsPro,data science,Bangalore,full-time,3,python pandas scikit-learn,IT
Senior Data Analyst,DataInsights,data science,Mumbai,full-time,5,python r tableau sql,IT
Machine Learning Engineer,AIInnovate,data science,Bangalore,full-time,4,python tensorflow keras,IT
Product Manager,ProductLabs,product manager,Delhi,full-time,6,agile product-management,IT
UX Designer,DesignWorks,designer,Bangalore,full-time,3,figma sketch user-research,IT
Marketing Specialist,BrandX,marketing,Mumbai,full-time,2,social-media content-marketing,Marketing
HR Manager,PeopleFirst,hr manager,Hyderabad,full-time,5,recruitment talent-management,Human Resources
Remote Software Engineer,RemoteTech,software developer,Remote,full-time,4,python django react,IT
Part-time Web Developer,FlexiTech,software developer,Bangalore,part-time,2,html css javascript,IT
Data Engineer,BigData Inc,data engineer,Delhi,full-time,3,sql hadoop spark,IT
DevOps Engineer,InfraCloud,devops engineer,Bangalore,full-time,4,docker kubernetes aws,IT
